key,en,de,es,fr,pt,it,nl,pl,ru,ja,zh,pt_BR,bg,cs,da,et,fi,el,hu,lv,lt,ro,sk,sl,sv,hi,af,sq,am,ar,hy,az,bn,eu,be,my,ca,hr,is,id,kn,kk,km,ko,ky,lo,mk,ms,ml,mn,ne,no,fa,pa,rm,si,ta,te,th,tr,uk,ur,vi,zu,fil,gl,ka,he,sr,gu,sw
add_event,Add event,Ereignis hinzufügen,Añadir evento,Ajouter un évènement,Adicionar Evento,Aggiungi evento,Voeg evenement toe,Dodaj wydarzenie,Добавить событие,イベントを追加します,添加事件,Adicionar Evento,Добавете събитие,Přidat událost,Tilføj begivenhed,ADD sündmus,Lisää tapahtuma,Προσθήκη συμβάντος,Esemény hozzáadása,Pievienot notikumu,Pridėkite įvykį,Adăugați eveniment,Pridať udalosť,Dodaj dogodek,Lägg till händelse,कार्यक्रम जोड़ें,Voeg gebeurtenis by,Shto ngjarje,ክስተት ያክሉ,أضف الحدث,Ավելացնել իրադարձություն,Hadisə əlavə edin,ইভেন্ট যুক্ত করুন,Gehitu gertaera,Дадаць падзея,အဖြစ်အပျက်တစ်ခုကိုထည့်ပါ,Afegiu esdeveniment,Dodaj događaj,Bæta við atburði,Tambahkan acara,ಈವೆಂಟ್ ಸೇರಿಸಿ,Оқиған қосыңыз,បន្ថែមព្រឹត្តិការណ៍,이벤트 추가,Окуя кошуу,ເພີ່ມເຫດການ,Додадете настан,Tambah acara,ഇവന്റ് ചേർക്കുക,Галт нэмэх,घटना थप्नुहोस्,Legg til arrangement,افزودن رویداد,ਇਵੈਂਟ ਸ਼ਾਮਲ ਕਰੋ,Agiuntar eveniment,සිද්ධිය එක් කරන්න,நிகழ்வைச் சேர்க்கவும்,ఈవెంట్‌ను జోడించండి,เพิ่มเหตุการณ์,Etkinlik ekle,Додати подію,واقعہ شامل کریں,Thêm sự kiện,Faka Umcimbi,Magdagdag ng kaganapan,Engadir evento,ღონისძიების დამატება,הוסף אירוע,Додај догађај,ઘટના ઉમેરો,Ongeza Tukio
edit_event,Edit event,Ereignis bearbeiten,Evento de edición,Modifier l'événement,Evento de edição,Modifica evento,Event bewerken,Edytuj wydarzenie,Редактировать событие,編集イベント,编辑事件,Evento de edição,Редактиране на събитие,Upravit událost,Rediger begivenhed,Redigeerimisüritus,Muokkaustapahtuma,Επεξεργασία συμβάντος,Esemény szerkesztése,Rediģēšanas pasākums,Redaguoti įvykį,Editați evenimentul,Úpravy,Uredi dogodek,Redigera händelse,संपादन कार्यक्रम,Redigeer gebeurtenis,Redakto ngjarjen,ክስተት አርትዕ,تحرير الحدث,Խմբագրել իրադարձությունը,Hadisəni düzəldin,ইভেন্ট সম্পাদনা,Editatu gertaera,Рэдагаваць мерапрыемства,Event ကိုတည်းဖြတ်ပါ,Editar esdeveniment,Uredi događaj,Breyta atburði,Edit Event,ಈವೆಂಟ್ ಸಂಪಾದಿಸಿ,Оқиғаны өңдеу,កែសម្រួលព្រឹត្តិការណ៍,이벤트 편집,Окуяны түзөтүү,ເຫດການແກ້ໄຂ,Уреди настан,Edit acara,ഇവന്റ് എഡിറ്റുചെയ്യുക,Засах үйл явдлыг засах,कार्यक्रम सम्पादन गर्नुहोस्,Rediger hendelse,ویرایش رویداد,ਸਮਾਪਤੀ,Modifitgar occurrenza,සිද්ධිය සංස්කරණය කරන්න,நிகழ்வைத் திருத்து,ఈవెంట్‌ను సవరించండి,แก้ไขเหตุการณ์,Düzenleme Etkinliği,Редагувати подію,واقعہ میں ترمیم کریں,Chỉnh sửa sự kiện,Hlela umcimbi,I -edit ang kaganapan,Editar evento,რედაქტირება ღონისძიება,ערוך אירוע,Уређивање догађаја,સંપાદન ઘટના,Hariri Tukio
delete,Delete,Löschen,Borrar,Supprimer,Excluir,Eliminare,Verwijderen,Usuwać,Удалить,消去,删除,Excluir,Изтрий,Vymazat,Slet,Kustutama,Poistaa,Διαγράφω,Töröl,Dzēst,Ištrinti,Șterge,Vymazať,Izbrisati,Radera,मिटाना,Verwyder,Nxjerr,ሰርዝ,يمسح,Ջնջել,Silmək,মুছে ফেলা,Ezabatu,Выдаляць,ဖျက်,Esborrar,Izbrisati,Eyða,Menghapus,ಅಳಿಸು,Жою,របៅបេលរសច,삭제,Жок кылуу,ລົບ,Избриши,Padam,ഇല്ലാതാക്കുക,Эдгээх,मेटाउन,Slett,حذف,ਮਿਟਾਓ,Stizzar,මකන්න,அழி,తొలగించు,ลบ,Silmek,Видаляти,حذف کریں,Xóa bỏ,Cisha,Tanggalin,Eliminar,წაშლა,לִמְחוֹק,Избрисати,કા delી નાખવું,Futa
save,Save,Speichern,Ahorrar,Sauvegarder,Salvar,Salva,Redden,Ratować,Сохранять,保存,节省,Salvar,Запазете,Uložit,Gemme,Kokkuhoid,Tallentaa,Αποθηκεύσετε,Megment,Ietaupīt,Sutaupyti,Salvați,Uložiť,Shrani,Spara,बचाना,Red,Ruaj,አስቀምጥ,يحفظ,Խնայել,Yadda saxla,সংরক্ষণ,Aurreztu,Ашчаджаць,ကယ်ဆယ်,Estalviar,Uštedjeti,Vista,Menyimpan,ಉಳಿಸು,Жинау,សរេង្គាហ,구하다,Сактоо,ປະຢັດ,Зачувај,Simpan,രക്ഷിക്കും,Аврах,बचाउनु,Lagre,صرفه جویی,ਸੇਵ,Salvează,සුරකින්න,சேமிக்கவும்,సేవ్,บันทึก,Kaydetmek,Заощадити,بچت کریں,Cứu,Hlenga,I -save,Gardar,Გადარჩენა,להציל,сачувати,બચત કરવી,Kuokoa
event_title,Title,Titel,Título,Titre,Título,Titolo,Titel,Tytuł,Заголовок,タイトル,标题,Título,Заглавие,Titul,Titel,Tiitel,Otsikko,Τίτλος,Cím,Tituls,Pavadinimas,Titlu,Názov,Naslov,Titel,शीर्षक,Titel,Titull,ርዕስ,عنوان,Կոչում,Başlıq,শিরোনাম,Izenburua,Загаловак,ခေါင်းစဥ်,Títol,Titula,Titill,Judul,ಶೀರ್ಷಿಕೆ,Тақырып,ចមនងចើង,제목,Аталышы,ໃບຕາດິນ,Наслов,Tajuk,തലക്കെട്ട്,Гарчиг,शीर्षक,Tittel,عنوان,ਸਿਰਲੇਖ,Titel,ශීර්ෂය,தலைப்பு,శీర్షిక,ชื่อ,Başlık,Титул,عنوان,Tiêu đề,Ibizo,Pamagat,Título,ტიტული,כותרת,Назив,હક,Kichwa
event_description,Description,Beschreibung,Descripción,Description,Descrição,Descrizione,Beschrijving,Opis,Описание,説明,描述,Descrição,Описание,Popis,Beskrivelse,Kirjeldus,Kuvaus,Περιγραφή,Leírás,Apraksts,apibūdinimas,Descriere,Opis,Opis,Beskrivning,विवरण,Beskrywing,Përshkrim,መግለጫ,وصف,Նկարագրություն,Təsvir,বর্ণনা,Deskribapen,Апісанне,ဖေါ်ပြချက်,Descripció,Opis,Lýsing,Keterangan,ವಿವರಣೆ,Түсіндірме,ការបិបន៍នា,설명,Сүрөттөө,ລາຍລະອຽດ,Опис,Penerangan,വിവരണം,Тодорхойлолт / төрөл анги,वर्णन,Beskrivelse,شرح,ਵੇਰਵਾ,Descripziun,විස්තර,விளக்கம்,వివరణ,คำอธิบาย,Tanım,Опис,تفصیل,Sự miêu tả,Ukufanisa,Paglalarawan,Descrición,აღწერილობა,תיאור,Опис,વર્ણન,Maelezo
all_day,All day,Den ganzen Tag,Todo el dia,Toute la journée,Dia todo,Tutto il giorno,De hele dag,Cały dzień,Весь день,一日中,一整天,Dia todo,Цял ден,Celý den,Hele dagen,Terve päev,Koko päivä,Ολη μέρα,Egész nap,Visu dienu,Visą dieną,Toată ziua,Celý deň,Ves dan,Hela dagen,पूरे दिन,Heeldag,Gjithe diten,ሙሉ ቀን,طوال اليوم,Ամբողջ օրը,Bütün gün,সারাদিন,Egun osoan,Увесь дзень,တနေ့လုံး,Tot el dia,Cijeli dan,Allan daginn,Sepanjang hari,ಇಡೀ ದಿನ,Күні бойы,ពេញមួយថ្ងៃ,하루 종일,Күн бою,ຫມົດ​ມື້,Цел ден,Sepanjang hari,ദിവസം മുഴുവൻ,Бүх өдөр,दिनभरि,Hele dagen,تمام روز,ਸਾਰਾ ਦਿਨ,Tut il di,දවස පුරාම,நாள் முழுவதும்,రోజంతా,ทั้งวัน,Tüm gün,Весь день,تمام دن,Cả ngày,Usuku lonke,Buong araw,Todo o día,Მთელი დღე,כל היום,Цео дан,બધા દિવસ,Siku nzima
calendar,Calendar,Kalender,Calendario,Calendrier,Calendário,Calendario,Kalender,Kalendarz,Календарь,カレンダー,日历,Calendário,Календар,Kalendář,Kalender,Kalender,Kalenteri,Ημερολόγιο,Naptár,Kalendārs,Kalendorius,Calendar,Kalendár,Koledar,Kalender,पंचांग,Kalender,Kalendar,የቀን መቁጠሪያ,تقويم,Օրացույց,Təqvim,ক্যালেন্ডার,Egutegi,Каляндар,ပြက္ခဒိန်,Calendari,Kalendar,Dagatal,Kalender,ಕ್ಯಾಲೆಂಡರ್,Күнтібзе,របកតីតិន,달력,Календарь,ປະຕິທິນ,Календар,Kalendar,പഞ്ചാംഗം,Хуанли,पात्रो,Kalender,تقویم,ਕੈਲੰਡਰ,Calender,දින දර්ශනය,நாட்காட்டி,క్యాలెండర్,ปฏิทิน,Takvim,Календар,کیلنڈر,Lịch,Unsukuzonke,Kalendaryo,Calendario,Კალენდარი,לוּחַ שָׁנָה,Календар,ક calલેન્ડર,Kalenda
no_calendar,No calendar,Kein Kalender,Sin calendario,Pas de calendrier,Sem calendário,Nessun calendario,Geen agenda,Brak kalendarza,Нет календаря,カレンダーなし,没有日历,Sem calendário,Без календар,Žádný kalendář,Ingen kalender,Kalendrit pole,Ei kalenteria,Χωρίς ημερολόγιο,Nincs naptár,Nav kalendāra,Nėra kalendoriaus,Fără calendar,Žiadny kalendár,Brez koledarja,Ingen kalender,कोई कैलेंडर नहीं,Geen kalender nie,Asnjë kalendar,የቀን መቁጠሪያ የለም,لا تقويم,Օրացույց չկա,Təqvim yoxdur,কোন ক্যালেন্ডার নেই,Egutegi ez,Няма календара,ပြက္ခဒိန်မရှိပါ,Sense calendari,Nema kalendara,Ekkert dagatal,Tidak ada kalender,ಕ್ಯಾಲೆಂಡರ್ ಇಲ್ಲ,Күнтізбе,គ្មានប្រតិទិន,달력 없음,Календарь,ບໍ່ມີປະຕິທິນ,Нема календар,Tiada kalendar,കലണ്ടർ ഇല്ല,Хуанли байхгүй,क्यालेन्डर छैन,Ingen kalender,بدون تقویم,ਕੋਈ ਕੈਲੰਡਰ ਨਹੀਂ,Nagin chalender,දින දර්ශනයක් නැත,காலண்டர் இல்லை,క్యాలెండర్ లేదు,ไม่มีปฏิทิน,Takvim yok,Немає календаря,کوئی کیلنڈر نہیں,Không có lịch,Alikho Ikhalenda,Walang kalendaryo,Sen calendario,კალენდარი არ არის,אין לוח שנה,Нема календара,કોઈ કેલેન્ડર,Hakuna kalenda
add_reminder,Add reminder,Erinnerung hinzufügen,Agregar recordatorio,Ajouter le rappel,Adicione o lembrete,Aggiungi promemoria,Herinnering toevoegen,Dodaj przypomnienie,Добавить напоминание,リマインダーを追加します,添加提醒,Adicione o lembrete,Добавете напомняне,Přidejte připomenutí,Tilføj påmindelse,Lisage meeldetuletus,Lisää muistutus,Προσθέστε υπενθύμιση,Adjon hozzá emlékeztetőt,Pievienot atgādinājumu,Pridėkite priminimą,Adăugați memento,Pridať pripomenutie,Dodaj opomnik,Lägg till påminnelse,अनुस्मारक जोड़ें,Voeg herinnering by,Shto kujtesë,አስታዋሽ ጨምር,إضافة تذكير,Ավելացնել հիշեցում,Xatırlatma əlavə edin,অনুস্মারক যুক্ত করুন,Gehitu abisua,Дадайце напамін,သတိပေးချက်ထည့်ပါ,Afegiu recordatori,Dodajte podsjetnik,Bættu við áminningu,Tambahkan pengingat,ಜ್ಞಾಪನೆಯನ್ನು ಸೇರಿಸಿ,Еске салғышты қосыңыз,បន្ថែមការរំលឹក,알림을 추가하십시오,Эскерткич кошуу,ເພີ່ມຄໍາເຕືອນ,Додадете потсетник,Tambah peringatan,ഓർമ്മപ്പെടുത്തൽ ചേർക്കുക,Сануулга нэмүүлэх,रिमाइन्डर थप्नुहोस्,Legg til påminnelse,یادآوری اضافه کنید,ਰੀਮਾਈਂਡਰ ਸ਼ਾਮਲ ਕਰੋ,Agiuntar in regurdientsch,මතක් කිරීම එක් කරන්න,நினைவூட்டலைச் சேர்க்கவும்,రిమైండర్ జోడించండి,เพิ่มการเตือนความจำ,Hatırlatma Ekle,Додайте нагадування,یاد دہانی شامل کریں,Thêm lời nhắc,Faka Isikhumbuzi,Magdagdag ng paalala,Engade recordatorio,შეხსენება დაამატე,הוסף תזכורת,Додати подсетник,રીમાઇન્ડર ઉમેરો,Ongeza ukumbusho
